mahalle_id,mahalle_adi,ilce_id,ilce_adi,il_id,il_adi
177915,ÇATALÖREN MAHALLESİ,1167,BALA,6,ANKARA
1975,ÇİĞDEMLİ MAHALLESİ,1167,BALA,6,ANKARA
177917,DAVDANLI MAHALLESİ,1167,BALA,6,ANKARA
177919,DEREKIŞLA MAHALLESİ,1167,BALA,6,ANKARA
177921,EĞRİBASAN MAHALLESİ,1167,BALA,6,ANKARA
177923,ERGİN MAHALLESİ,1167,BALA,6,ANKARA
1966,GÖZTEPE MAHALLESİ,1167,BALA,6,ANKARA
177925,GÜLBAĞI MAHALLESİ,1167,BALA,6,ANKARA
99986,HAMİDİYE MAHALLESİ,1167,BALA,6,ANKARA
177927,HANBURUN MAHALLESİ,1167,BALA,6,ANKARA
1967,İSMETPAŞA MAHALLESİ,1167,BALA,6,ANKARA
177929,KARAHAMZALI MAHALLESİ,1167,BALA,6,ANKARA
1968,KARTALTEPE MAHALLESİ,1167,BALA,6,ANKARA
1977,KERİŞLİ MAHALLESİ,1167,BALA,6,ANKARA
1983,KESİKKÖPRÜ ERDEMLİ MAHALLESİ,1167,BALA,6,ANKARA
1982,KESİKKÖPRÜ KIZILIRMAK MAHALLESİ,1167,BALA,6,ANKARA
1981,KESİKKÖPRÜ MAHALLESİ,1167,BALA,6,ANKARA
177933,KOÇYAYLA MAHALLESİ,1167,BALA,6,ANKARA
1978,KÖSELİ MAHALLESİ,1167,BALA,6,ANKARA
177911,KUYULAR MAHALLESİ,1167,BALA,6,ANKARA
177935,KÜÇÜKBAYAT MAHALLESİ,1167,BALA,6,ANKARA
177937,KÜÇÜKBIYIK MAHALLESİ,1167,BALA,6,ANKARA
1974,KÜÇÜKBOYALIK MAHALLESİ,1167,BALA,6,ANKARA
177939,KÜÇÜKCAMİLİ MAHALLESİ,1167,BALA,6,ANKARA
177941,SARIHÜYÜK MAHALLESİ,1167,BALA,6,ANKARA
177943,SIRAPINAR MAHALLESİ,1167,BALA,6,ANKARA
177945,SOFULAR MAHALLESİ,1167,BALA,6,ANKARA
177947,SUYUGÜZEL MAHALLESİ,1167,BALA,6,ANKARA
177949,ŞEHRİBAN MAHALLESİ,1167,BALA,6,ANKARA
1969,ŞENTEPE MAHALLESİ,1167,BALA,6,ANKARA
177951,TATARHÜYÜK MAHALLESİ,1167,BALA,6,ANKARA
177953,TEPEKÖY MAHALLESİ,1167,BALA,6,ANKARA
1971,TOLKÖY MAHALLESİ,1167,BALA,6,ANKARA
177955,ÜÇEM MAHALLESİ,1167,BALA,6,ANKARA
177957,YAYLALIÖZÜ MAHALLESİ,1167,BALA,6,ANKARA
1973,YENİKÖY MAHALLESİ,1167,BALA,6,ANKARA
177959,YENİYAPANÇARŞAK MAHALLESİ,1167,BALA,6,ANKARA
177961,YENİYAPANŞEYHLİ MAHALLESİ,1167,BALA,6,ANKARA
1992,YÖRELİ MAHALLESİ,1167,BALA,6,ANKARA
177963,YUKARIHACIBEKİR MAHALLESİ,1167,BALA,6,ANKARA
1639,30 AĞUSTOS MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1625,AHİ MESUT MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1622,ALSANCAK MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1623,ALTAY MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1900,AŞAĞIYURTÇU MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1644,ATAKENT MAHALLESİ,1922,ETİMESGUT,6,ANKARA
183238,ATAYURT MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1642,AYYILDIZ MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1640,BAĞLICA MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1624,BAHÇEKAPI MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1901,BALIKUYUMCU MAHALLESİ,1922,ETİMESGUT,6,ANKARA
100411,ELVAN MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1627,ERLER MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1626,ERYAMAN MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1628,ETİLER MAHALLESİ,1922,ETİMESGUT,6,ANKARA
99784,FATİH SULTAN MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1904,FEVZİYE MAHALLESİ,1922,ETİMESGUT,6,ANKARA
99782,GÖKSU MAHALLESİ,1922,ETİMESGUT,6,ANKARA
99783,GÜZELKENT MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1629,İSTASYON MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1630,KAZIM KARABEKİR MAHALLESİ,1922,ETİMESGUT,6,ANKARA
